timestamp_sec,tag_id,x_m,y_m,z_m,lateral_m
0.816,0,0.5761,0.4456,6.9591,0.7283
0.816,2,0.3195,0.2879,1.4498,0.4301
0.816,3,-0.0805,0.2663,1.3473,0.2782
1.020,2,0.3195,0.2879,1.4498,0.4301
1.020,3,-0.0805,0.2663,1.3473,0.2782
2.000,2,0.2965,0.2864,1.4502,0.4123
2.000,3,-0.1067,0.2832,1.4029,0.3026
2.000,107,0.5436,0.0498,2.0121,0.5459
3.350,2,0.2955,0.2595,1.3634,0.3933
3.350,3,-0.1088,0.2547,1.2665,0.2770
3.646,2,0.2445,0.1679,1.1925,0.2966
3.646,3,-0.1578,0.1709,1.1114,0.2326
3.982,2,0.2278,0.1220,1.1714,0.2584
3.982,3,-0.1730,0.1308,1.0960,0.2168
4.275,2,0.2249,0.1133,1.1597,0.2518
4.275,3,-0.1741,0.1216,1.0968,0.2124
4.751,2,0.2239,0.1286,1.1678,0.2582
4.751,3,-0.1753,0.1328,1.1007,0.2199
5.077,2,0.2233,0.1248,1.1673,0.2558
5.077,3,-0.1756,0.1283,1.1062,0.2174
5.359,2,0.2109,0.1017,1.1963,0.2341
5.359,3,-0.1903,0.1035,1.1233,0.2166
6.335,2,0.2047,0.0663,1.2641,0.2152
6.335,3,-0.2016,0.0632,1.1743,0.2113
6.796,2,0.2323,0.2488,1.5992,0.3403
6.796,3,-0.1641,0.2437,1.5231,0.2938
6.955,2,0.2483,0.2343,1.6447,0.3414
7.616,2,0.2483,0.2343,1.6447,0.3414
7.616,3,-0.1641,0.2437,1.5231,0.2938
8.096,0,0.5761,0.4456,6.9591,0.7283
8.096,1,0.3702,0.0053,1.8043,0.3702
8.096,2,0.3690,0.3826,1.7426,0.5316
8.096,3,-0.0350,0.3738,1.6828,0.3754
8.285,0,0.6743,0.8333,8.2281,1.0719
8.285,2,0.3429,0.3608,1.7092,0.4978
8.285,3,-0.0548,0.3502,1.6254,0.3545
8.504,2,0.3272,0.3124,1.6239,0.4524
8.504,3,-0.0711,0.2981,1.5457,0.3065
8.899,1,0.3392,0.0145,1.6929,0.3395
8.899,2,0.3234,0.3928,1.5600,0.5088
8.899,3,-0.0804,0.3675,1.4469,0.3762
8.899,4,-0.0833,0.0116,1.4919,0.0841
8.899,107,0.1516,0.2537,1.9981,0.2956
9.496,0,0.6488,0.7044,8.0872,0.9577
9.496,2,0.3234,0.3928,1.5600,0.5088
9.496,3,-0.0804,0.3675,1.4469,0.3762
9.910,2,0.2770,0.2988,1.4128,0.4075
9.910,3,-0.1338,0.2963,1.3580,0.3251
9.910,107,0.0841,0.1355,1.8222,0.1595
10.395,0,0.0686,0.4893,6.1402,0.4941
10.395,2,0.2183,0.2881,1.2822,0.3615
10.395,3,-0.1762,0.2882,1.2398,0.3378
10.663,0,0.0686,0.4893,6.1402,0.4941
10.663,2,0.2183,0.2881,1.2822,0.3615
10.663,3,-0.1762,0.2882,1.2398,0.3378
10.919,2,0.2064,0.2453,1.1865,0.3206
10.919,3,-0.1905,0.2428,1.1480,0.3086
11.282,0,0.0153,0.4856,5.9379,0.4859
11.282,2,0.2064,0.2453,1.1865,0.3206
11.282,3,-0.1905,0.2428,1.1480,0.3086
11.513,0,0.0237,0.1533,5.3075,0.1551
11.513,2,0.2044,0.2234,1.1163,0.3028
11.513,3,-0.1920,0.2197,1.0898,0.2918
12.025,0,0.1117,0.0628,4.4224,0.1281
12.025,2,0.2211,0.2091,0.9506,0.3043
12.025,3,-0.1771,0.2019,0.9275,0.2686
12.192,0,0.1117,0.0628,4.4224,0.1281
12.192,2,0.2211,0.2091,0.9506,0.3043
12.192,3,-0.1771,0.2019,0.9275,0.2686
12.392,0,0.0822,0.0763,4.2071,0.1122
12.392,2,0.2180,0.2162,0.9261,0.3071
12.392,3,-0.1843,0.2058,0.8924,0.2763
12.555,0,0.0854,0.1333,4.0643,0.1583
12.555,2,0.2220,0.2350,0.9048,0.3233
12.555,3,-0.1844,0.2160,0.8483,0.2840
12.733,0,0.1277,0.1288,3.9149,0.1814
12.733,2,0.2237,0.2293,0.8399,0.3203
12.733,3,-0.1756,0.2114,0.7964,0.2748
12.986,0,0.1321,0.0902,3.5525,0.1600
12.986,2,0.2226,0.2203,0.7854,0.3131
12.986,3,-0.1758,0.2074,0.7620,0.2719
13.282,2,0.2130,0.2215,0.7307,0.3073
13.282,3,-0.1859,0.2084,0.7110,0.2793
13.454,3,-0.1838,0.1807,0.6418,0.2577
22.474,4,0.0832,0.0397,0.7613,0.0922
23.299,0,2.1232,1.5246,5.6145,2.6139
23.299,4,0.2515,0.0761,1.0853,0.2628
23.998,4,0.1063,0.0601,1.0681,0.1222
24.204,4,0.1063,0.0601,1.0681,0.1222
24.373,4,0.0321,0.0561,1.0463,0.0646
24.562,1,0.4074,0.1037,1.1293,0.4204
31.136,107,0.0293,0.3908,1.3010,0.3919
33.292,3,-0.2143,0.1525,1.0608,0.2630
33.292,4,0.0321,0.0561,1.0463,0.0646
33.292,107,0.0293,0.3908,1.3010,0.3919
33.484,3,-0.4269,0.2107,1.2297,0.4760
33.484,4,0.0025,0.1653,1.1100,0.1653
33.979,1,0.0883,0.4381,1.1271,0.4469
34.195,1,0.0883,0.4381,1.1271,0.4469
34.195,3,-0.4191,0.1768,1.2099,0.4549
34.195,4,0.0015,0.1197,1.0568,0.1197
34.195,107,-0.2476,0.4920,1.4886,0.5508
34.440,107,-0.1297,0.3363,1.4720,0.3604
34.822,107,-0.0358,0.3650,1.5222,0.3668
36.953,3,-0.4910,0.1900,1.2367,0.5265
36.953,4,-0.0569,0.1206,1.0529,0.1333
37.149,107,-0.3124,0.3988,1.4966,0.5066
37.370,1,0.1180,0.4342,1.1267,0.4500
37.370,3,-0.4910,0.1900,1.2367,0.5265
37.370,4,-0.0569,0.1206,1.0529,0.1333
37.370,107,-0.3124,0.3988,1.4966,0.5066
37.781,1,-0.0173,0.4214,1.0811,0.4218
37.781,3,-0.4811,0.1123,1.2108,0.4941
37.781,107,-0.3268,0.3569,1.5022,0.4839
38.961,107,0.1698,0.1084,1.4255,0.2014
39.367,1,0.3403,0.4127,1.1161,0.5349
39.367,2,-0.0659,0.3486,0.9633,0.3548
39.367,3,-0.0495,-0.0012,1.0115,0.0495
39.882,3,-0.0495,-0.0012,1.0115,0.0495
39.882,4,-0.0637,0.0518,1.1014,0.0821
39.882,107,0.1698,0.1084,1.4255,0.2014
42.655,0,0.1240,0.2115,0.8440,0.2452
63.402,0,-0.5329,1.0391,3.3160,1.1678
